Dataset;#TrainingRelease;%Training;%DefectiveInTraining;%DefectiveInTesting;Classifier;Balancing;FeatureSelection;Sensitivity;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
BOOKKEEPER;1;43.67;0.00;19.38;RANDOM_FOREST;true;true;true;0;0;183;44;0;0.000000;0.500000;0.000000
BOOKKEEPER;1;43.67;0.00;19.38;NAIVE_BAYES;true;true;true;0;0;183;44;0;0.000000;0.500000;0.000000
BOOKKEEPER;1;43.67;0.00;19.38;IBK;true;true;true;0;0;183;44;0;0.000000;0.500000;0.000000
BOOKKEEPER;2;56.44;15.88;9.00;RANDOM_FOREST;true;true;true;13;44;239;15;0.228070;0.464286;0.654404;0.210558
BOOKKEEPER;2;56.44;15.88;9.00;NAIVE_BAYES;true;true;true;8;9;274;20;0.470588;0.285714;0.626956;0.308518
BOOKKEEPER;2;56.44;15.88;9.00;IBK;true;true;true;24;111;172;4;0.177778;0.857143;0.732458;0.170820
BOOKKEEPER;3;66.67;17.09;9.52;RANDOM_FOREST;true;true;true;16;13;310;18;0.551724;0.470588;0.715170;0.460646
BOOKKEEPER;3;66.67;17.09;9.52;NAIVE_BAYES;true;true;true;21;6;317;13;0.777778;0.617647;0.799536;0.659847
BOOKKEEPER;3;66.67;17.09;9.52;IBK;true;true;true;28;94;229;6;0.229508;0.823529;0.766254;0.246772
BOOKKEEPER;4;73.96;12.70;1.06;RANDOM_FOREST;true;true;true;0;0;373;4;0;0.000000;0.500000;0.000000
BOOKKEEPER;4;73.96;12.70;1.06;NAIVE_BAYES;true;true;true;1;8;365;3;0.111111;0.250000;0.614276;0.141230
BOOKKEEPER;4;73.96;12.70;1.06;IBK;true;true;true;1;33;340;3;0.029412;0.250000;0.580764;0.034296
